CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Leitos complementares
Período:Fev/2020
"Município";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica I";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"430310 Cachoeirinha";-;-;-;-;-;-;-;-;-;10;-;-;-;-;10;-;-;-;20
"430330 Caibaté";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430360 Cambará do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430380 Campinas do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430390 Campo Bom";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430400 Campo Novo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430440 Canela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"430450 Canguçu";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430460 Canoas";-;26;-;28;37;-;-;10;-;-;20;-;-;-;10;5;-;-;136
"430463 Capão da Canoa";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430470 Carazinho";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"430510 Caxias do Sul";-;-;10;86;-;-;15;5;-;30;17;-;4;-;10;5;-;-;182
"430530 Chapada";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"430540 Chiapetta";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430570 Condor";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430580 Constantina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430590 Coronel Bicaco";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430610 Cruz Alta";-;-;5;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"430620 Cruzeiro do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430640 Dois Irmãos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430660 Dom Pedrito";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430700 Erechim";-;-;-;19;-;-;10;-;-;13;-;-;-;-;-;-;-;-;42
"430750 Espumoso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430770 Esteio";-;-;-;8;-;-;-;-;-;5;-;-;-;-;3;2;-;-;18
"430780 Estrela";-;-;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;20
"430790 Farroupilha";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430800 Faxinal do Soturno";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430820 Flores da Cunha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430850 Frederico Westphalen";3;3;-;10;-;-;-;-;-;-;-;-;-;-;2;2;2;2;24
"430860 Garibaldi";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430910 Gramado";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430920 Gravataí";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430930 Guaíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430960 Horizontina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431020 Ijuí";-;9;10;24;-;-;4;-;6;16;-;-;4;-;-;-;-;-;73
"431050 Iraí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431060 Itaqui";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431100 Jaguarão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431110 Jaguari";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431130 Lagoa Vermelha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431140 Lajeado";-;7;-;20;-;-;4;-;-;7;-;-;-;-;-;-;-;-;38
"431205 Marques de Souza";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431220 Maximiliano de Almeida";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431240 Montenegro";-;6;-;19;-;-;-;-;4;-;-;-;-;-;3;-;-;-;32
"431250 Mostardas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431290 Nova Bassano";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431320 Nova Petrópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431340 Novo Hamburgo";-;-;5;29;10;-;6;-;-;27;-;-;-;-;10;5;1;-;93
"431350 Osório";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5
"431360 Paim Filho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431370 Palmeira das Missões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"431390 Panambi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"431400 Paraí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431402 Paraíso do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431410 Passo Fundo";-;-;9;60;10;-;13;-;2;30;-;-;-;-;10;5;-;-;139
"431430 Pejuçara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431440 Pelotas";-;16;5;67;-;-;10;-;-;19;-;-;-;-;10;5;-;-;132
"431450 Pinheiro Machado";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431460 Piratini";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431470 Planalto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431490 Porto Alegre";-;118;42;117;451;-;35;100;15;48;97;4;-;8;102;45;-;90;1272
"431510 Porto Xavier";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431515 Progresso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431560 Rio Grande";-;5;-;34;-;-;10;-;-;10;-;-;2;-;9;3;2;4;79
"431570 Rio Pardo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"431610 Ronda Alta";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431620 Rondinha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431630 Roque Gonzales";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431640 Rosário do Sul";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"431660 Sananduva";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;5;15
"431710 Sant'Ana do Livramento";-;2;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"431680 Santa Cruz do Sul";-;-;-;7;10;-;4;-;-;8;-;-;-;-;10;5;-;-;44
"431690 Santa Maria";-;-;-;56;40;-;14;-;-;20;-;-;-;-;10;5;-;-;145
"431720 Santa Rosa";-;-;4;20;-;-;10;-;-;10;-;-;-;-;-;-;-;-;44
"431730 Santa Vitória do Palmar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"431740 Santiago";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"431750 Santo Ângelo";-;2;-;17;-;-;-;-;-;10;-;-;-;-;-;6;-;-;35
"431800 São Borja";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;2;6;17
"431830 São Gabriel";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"431840 São Jerônimo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431870 São Leopoldo";-;3;1;9;-;-;-;-;-;8;-;-;-;-;1;1;-;-;23
"431890 São Luiz Gonzaga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431915 São Miguel das Missões";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431990 Sapiranga";-;2;-;7;-;-;-;-;-;10;-;-;-;-;-;-;-;-;19
"432000 Sapucaia do Sul";-;-;-;10;-;-;-;-;-;-;-;-;-;-;6;3;-;20;39
"432010 Sarandi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432020 Seberi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432050 Sertão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432067 Sinimbu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"432070 Sobradinho";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"432090 Tapejara";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"432110 Tapes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432120 Taquara";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"432130 Taquari";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432140 Tenente Portela";-;-;-;10;-;-;-;-;-;-;-;-;-;-;10;5;-;-;25
"432150 Torres";-;2;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"432160 Tramandaí";-;2;-;10;-;-;-;-;-;10;-;-;-;-;8;4;-;10;44
"432180 Três de Maio";-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"432190 Três Passos";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"432195 Trindade do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432230 Tuparendi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"432240 Uruguaiana";-;4;-;20;-;-;-;-;-;8;-;-;-;-;10;5;2;-;49
"432250 Vacaria";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"432253 Vale do Sol";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432260 Venâncio Aires";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"432270 Vera Cruz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432290 Viadutos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"432300 Viamão";-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"500100 Aparecida do Taboado";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"500110 Aquidauana";-;4;-;10;-;-;-;-;-;-;-;-;-;-;6;-;-;-;20
"500124 Aral Moreira";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500210 Bela Vista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500260 Camapuã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500270 Campo Grande";-;8;17;115;92;-;22;16;-;42;8;-;23;16;51;17;-;-;427
"500280 Caracol";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500295 Chapadão do Sul";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"500320 Corumbá";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"500325 Costa Rica";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500348 Dois Irmãos do Buriti";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500370 Dourados";-;4;15;54;-;1;10;-;7;13;-;-;-;-;15;-;-;2;121
"500375 Eldorado";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500380 Fátima do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500450 Itaporã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500460 Itaquiraí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500470 Ivinhema";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500525 Laguna Carapã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500540 Maracaju";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"500560 Miranda";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500600 Nova Alvorada do Sul";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"500620 Nova Andradina";-;3;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14
"500630 Paranaíba";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"500660 Ponta Porã";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"500690 Porto Murtinho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"500730 Rio Negro";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"500755 Santa Rita do Pardo";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"500790 Sidrolândia";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"500830 Três Lagoas";-;2;9;10;-;-;-;-;5;-;-;-;-;-;5;-;-;-;31
"510025 Alta Floresta";-;-;-;10;-;-;-;-;-;-;-;-;-;-;4;-;-;4;18
"510060 Alto Taquari";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510160 Barão de Melgaço";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510170 Barra do Bugres";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;7
"510180 Barra do Garças";-;4;-;10;-;-;-;-;-;-;-;-;-;-;-;-;3;-;17
"510250 Cáceres";-;-;-;26;-;10;-;-;-;10;-;-;-;-;-;-;-;-;46
"510267 Campo Verde";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510268 Campos de Júlio";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510320 Colíder";-;-;-;8;-;-;2;-;-;8;-;-;-;-;-;-;-;-;18
"510335 Confresa";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510337 Cotriguaçu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510340 Cuiabá";-;34;71;221;46;16;48;8;26;59;10;-;16;-;13;16;-;-;584
"510350 Diamantino";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510410 Guarantã do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"510420 Guiratinga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510460 Itiquira";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510500 Jauru";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510510 Juara";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510515 Juína";-;2;10;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;15
"510517 Juruena";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510525 Lucas do Rio Verde";-;2;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;22
"510558 Marcelândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510560 Matupá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510590 Nobres";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510622 Nova Mutum";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"510623 Nova Olímpia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510627 Novo Horizonte do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510629 Paranaíta";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510637 Pedra Preta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"510642 Peixoto de Azevedo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4
"510650 Poconé";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510675 Pontes e Lacerda";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510680 Porto dos Gaúchos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510700 Poxoréo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"510704 Primavera do Leste";-;6;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;4;32
"510760 Rondonópolis";-;6;-;49;-;-;10;-;-;20;-;-;-;-;10;5;4;12;116
"510770 Rosário Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510780 Santo Antônio do Leverger";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510787 Sapezal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510790 Sinop";-;8;-;22;-;-;-;-;-;10;-;-;-;-;-;-;-;-;40
"510792 Sorriso";-;4;10;10;-;1;-;-;9;10;-;-;-;-;-;-;-;-;44
"510794 Tabaporã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510795 Tangará da Serra";-;2;10;24;-;4;-;-;10;25;-;-;-;-;5;-;1;5;86
"510800 Tapurah";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510805 Terra Nova do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510810 Tesouro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510840 Várzea Grande";-;9;-;33;-;-;3;-;-;7;-;-;-;-;-;-;-;-;52
"510550 Vila Bela da Santíssima Trindade";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"520110 Anápolis";-;4;-;88;-;-;24;-;-;10;-;3;-;-;3;-;-;7;139
"520140 Aparecida de Goiânia";-;3;10;59;-;-;18;-;-;16;-;-;4;-;-;-;-;20;130
"520150 Aporé";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520320 Barro Alto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520350 Bom Jesus de Goiás";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"520355 Bonfinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"520390 Buriti Alegre";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"520450 Caldas Novas";-;6;-;10;-;-;-;-;-;-;-;-;-;-;-;-;2;3;21
"520465 Campinaçu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520500 Carmo do Rio Verde";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520510 Catalão";-;5;-;28;-;-;2;-;-;4;-;-;-;-;-;-;-;-;39
"520540 Ceres";-;1;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"520545 Cezarina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520551 Cocalzinho de Goiás";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520620 Cristalina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"520753 Faina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520800 Formosa";-;3;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;5;10
"520850 Goiandira";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520860 Goianésia";-;3;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"520870 Goiânia";-;52;146;474;10;15;86;-;22;175;10;15;20;-;41;10;-;-;1076
"520880 Goianira";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520890 Goiás";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"520910 Goiatuba";15;2;-;-;-;-;-;-;-;-;-;-;-;-;6;-;9;-;32
"520970 Hidrolândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"520995 Indiara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521000 Inhumas";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"521020 Iporá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521090 Itapaci";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521150 Itumbiara";-;4;-;19;-;-;-;-;-;-;-;-;-;-;8;-;-;4;35
"521170 Jandaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"521180 Jaraguá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521190 Jataí";-;4;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"521220 Jussara";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"521250 Luziânia";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"521308 Minaçu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4
"521310 Mineiros";-;2;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"521380 Morrinhos";3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"521400 Mozarlândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521450 Nerópolis";-;5;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
"521460 Niquelândia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521560 Padre Bernardo";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521640 Paraúna";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521710 Piracanjuba";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521720 Piranhas";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521730 Pirenópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"521740 Pires do Rio";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521760 Planaltina";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"521770 Pontalina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521800 Porangatu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"521850 Quirinópolis";-;2;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"521860 Rialma";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521880 Rio Verde";-;5;-;45;-;-;-;-;-;19;10;-;-;-;7;-;7;2;95
"521930 Santa Helena de Goiás";-;5;-;10;-;-;10;-;-;-;-;-;-;-;-;-;-;-;25
"521975 Santo Antônio do Descoberto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"522010 São Luís de Montes Belos";-;2;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"522020 São Miguel do Araguaia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"522040 São Simão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"522045 Senador Canedo";-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"522060 Silvânia";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"522140 Trindade";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"522160 Uruaçu";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"530010 Brasília";-;85;353;418;146;34;106;28;29;84;89;14;34;34;122;62;-;30;1668
"Total";364;4372;6595;18885;5294;894;2893;1121;1643;5959;1493;237;795;225;4714;1366;313;2532;59695
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
